State,1969-70,1979-80,1989-90,1999-2000,2009-10,2019-20,2020-21,2021-22,1969-70,1979-80,1989-90,1999-2000,2009-10,2019-20,2020-21,2021-22,"Percent change, 1999-2000 to
 2009-10","Percent change, 2009-10 to
 2021-22"
   United States ,"$8,626","$15,970","$31,367","$41,807","$55,370","$64,133","$65,293","$66,397","$64,401","$58,016","$69,669","$69,647","$72,050","$70,315","$69,976","$66,397",3.5,-7.8
Alabama ,6818,13060,24828,36689,47571,54095,54271,55834,50903,47444,55146,61121,61901,59309,58163,55834,1.3,-9.8
Alaska ,10560,27210,43153,46462,59672,72010,73061,73722,78840,98848,95847,77401,77648,78951,78301,73722,0.3,-5.1
Arizona ,8711,15054,29402,36902,46952,50782,52157,54580,65036,54688,65305,61475,61096,55677,55898,54580,-0.6,-10.7
Arkansas ,6307,12299,22352,33386,46700,50456,51668,52486,47088,44680,49646,55618,60768,55320,55374,52486,9.3,-13.6
California ,10315,18020,37998,47680,68203,84531,85856,87275,77011,65463,84398,79431,88749,92679,92014,87275,11.7,-1.7
Colorado ,7761,16205,30758,38163,49202,57706,58183,58481,57943,58869,68317,63576,64024,63268,62356,58481,0.7,-8.7
Connecticut ,9262,16229,40461,51780,64350,78427,79742,81185,69149,58957,89868,86261,83735,85987,85461,81185,-2.9,-3
Delaware ,9015,16148,33377,44435,57080,64853,65141,65647,67305,58662,74134,74025,74275,71104,69813,65647,0.3,-11.6
District of Columbia ,10285,22190,38402,47076,64548,79350,80659,82523,76787,80612,85295,78424,83993,86999,86444,82523,7.1,-1.7
Florida ,8412,14149,28803,36722,46708,49102,51009,51230,62803,51400,63975,61175,60778,53835,54668,51230,-0.6,-15.7
Georgia ,7276,13853,28006,41023,53112,60578,60553,61249,54322,50325,62204,68341,69112,66417,64896,61249,1.1,-11.4
Hawaii ,9453,19920,32047,40578,55063,65409,70922,67000,70575,72365,71180,67599,71650,71714,76009,67000,6,-6.5
Idaho ,6890,13611,23861,35547,46283,52875,51817,54232,51440,49446,52998,59218,60225,57972,55533,54232,1.7,-10
Illinois ,9569,17601,32794,46486,62077,68083,70705,72301,71441,63941,72839,77441,80777,74646,75776,72301,4.3,-10.5
Indiana ,8833,15599,30902,41850,49986,51745,53072,54126,65946,56668,68637,69718,65044,56733,56878,54126,-6.7,-16.8
Iowa ,8355,15203,26747,35678,49626,58184,58831,59262,62378,55229,59408,59436,64576,63792,63051,59262,8.6,-8.2
Kansas ,7612,13690,28744,34981,46657,51320,53619,54815,56831,49733,63843,58275,60712,56267,57465,54815,4.2,-9.7
Kentucky ,6953,14520,26292,36380,49543,53907,54139,54574,51911,52748,58397,60606,64468,59103,58022,54574,6.4,-15.3
Louisiana ,7028,13760,24300,33109,48903,51566,52472,52376,52470,49987,53973,55157,63635,56537,56235,52376,15.4,-17.7
Maine ,7572,13071,26881,35561,46106,55276,57167,58757,56532,47484,59706,59241,59995,60604,61267,58757,1.3,-2.1
Maryland ,9383,17558,36319,44048,63971,73444,74006,75766,70053,63785,80668,73380,83242,80523,79314,75766,13.4,-9
Massachusetts ,8764,17253,34712,46580,69273,84290,86755,88903,65431,62677,77099,77598,90141,92415,92977,88903,16.2,-1.4
Michigan ,9826,19663,37072,49044,57958,63568,64262,65198,73360,71432,82341,81703,75417,69695,68871,65198,-7.7,-13.6
Minnesota ,8658,15912,32190,39802,52431,58663,66561,68491,64640,57805,71497,66306,68225,64318,71335,68491,2.9,0.4
Mississippi ,5798,11850,24292,31857,45644,46843,46862,47162,43287,43049,53955,53071,59394,51358,50223,47162,11.9,-20.6
Missouri ,7799,13682,27094,35656,45317,50817,51557,52481,58227,49704,60179,59400,58968,55715,55255,52481,-0.7,-11
Montana ,7606,14537,25081,32121,45759,52135,53133,53628,56786,52810,55708,53511,59544,57160,56944,53628,11.3,-9.9
Nebraska ,7375,13516,25522,33237,46227,55267,56463,57420,55061,49101,56687,55370,60153,60594,60513,57420,8.6,-4.5
Nevada ,9215,16295,30590,39390,51524,56672,58167,57804,68798,59196,67944,65620,67045,62135,62339,57804,2.2,-13.8
New Hampshire ,7771,13017,28986,37734,51443,59622,61849,62783,58018,47288,64381,62861,66940,65369,66285,62783,6.5,-6.2
New Jersey ,9130,17161,35676,52015,65130,76376,77677,79045,68164,62342,79240,86652,84750,83738,83248,79045,-2.2,-6.7
New Mexico ,7796,14887,24756,32554,46258,54256,54923,54272,58204,54081,54986,54232,60193,59486,58862,54272,11,-9.8
New York ,10336,19812,38925,51020,71633,87069,90222,92222,77168,71973,86457,84995,93212,95462,96693,92222,9.7,-1.1
North Carolina ,7494,14117,27883,39404,46850,54150,53458,53644,55950,51284,61931,65643,60963,59370,57292,53644,-7.1,-12
North Dakota ,6696,13263,23016,29863,42964,53525,54837,55769,49992,48182,51121,49749,55907,58684,58770,55769,12.4,-0.2
Ohio ,8300,15269,31218,41436,55958,61406,63082,63153,61967,55469,69339,69029,72815,67325,67606,63153,5.5,-13.3
Oklahoma ,6882,13107,23070,31298,47691,54096,54762,54804,51380,47615,51241,52140,62058,59310,58690,54804,19,-11.7
Oregon ,8818,16266,30840,42336,55224,67685,68565,69671,65834,59091,68499,70528,71860,74209,73483,69671,1.9,-3
Pennsylvania ,8858,16515,33338,48321,59156,70339,71479,72248,66133,59996,74047,80498,76976,77119,76606,72248,-4.4,-6.1
Rhode Island ,8776,18002,36057,47041,59686,75336,75966,76852,65521,65398,80086,78366,77666,82598,81415,76852,-0.9,-1
South Carolina ,6927,13063,27217,36081,47508,53329,53188,53393,51716,47455,60452,60108,61819,58470,57003,53393,2.8,-13.6
South Dakota ,6403,12348,21300,29071,38837,48984,49547,49761,47804,44858,47310,48430,50536,53706,53101,49761,4.4,-1.5
Tennessee ,7050,13972,27052,36328,46290,51862,52871,53619,52635,50757,60085,60519,60235,56861,56663,53619,-0.5,-11
Texas ,7255,14132,27496,37567,48261,57090,57641,58887,54165,51339,61072,62583,62799,62593,61775,58887,0.3,-6.2
Utah ,7644,14909,23686,34946,45885,54678,57226,58619,57069,54161,52609,58217,59708,59949,61330,58619,2.6,-1.8
Vermont ,7968,12484,29012,37758,49084,61108,62483,62866,59488,45352,64439,62901,63870,66998,66964,62866,1.5,-1.6
Virginia ,8070,14060,30938,38744,50015,57665,58506,59965,60250,51077,68717,64544,65082,63223,62702,59965,0.8,-7.9
Washington ,9225,18820,30457,41043,53003,76743,79388,81586,68873,68369,67648,68374,68970,84140,85082,81586,0.9,18.3
West Virginia ,7650,13710,22842,35009,45959,50238,50261,50315,57114,49806,50735,58322,59804,55081,53866,50315,2.5,-15.9
Wisconsin ,8963,16006,31921,41153,51264,59431,59992,60453,66917,58147,70900,68557,66707,65160,64295,60453,-2.7,-9.4
Wyoming ,8232,16012,28141,34127,55861,59786,60234,60820,61459,58168,62504,56852,72689,65549,64554,60820,27.9,-16.3
"\1\Constant dollars based on the Consumer Price Index (CPI), prepared by the Bureau of Labor Statistics, U.S. Department of Labor, adjusted to a school-year basis. The CPI does not account for differences in inflation rates from state to state. For more information about adjusting for differences in the cost of living from state to state, see the American Community Survey Comparable Wage Index for Teachers (ACS-CWIFT) at https://nces.ed.gov/programs/edge/Economic/TeacherWage.",,,,,,,,,,,,,,,,,,
"NOTE: Some data have been revised from previously published figures. Standard errors are not available for these estimates, which are based on state reports.",,,,,,,,,,,,,,,,,,
"SOURCE: National Education Association, Estimates of School Statistics, selected years, 1970 through 2022. (This table was prepared August 2022.)   ",,,,,,,,,,,,,,,,,,
